Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,10792141.567902055,10792141.567902055,0.0 
 01/01  02:00:00,11148213.974953188,11148213.974953188,0.0 
 01/01  03:00:00,11063026.729087469,11063026.729087469,0.0 
 01/01  04:00:00,10846385.80781072,10846385.80781072,0.0 
 01/01  05:00:00,10985810.708132748,10985810.708132748,0.0 
 01/01  06:00:00,10786424.751831402,10786424.751831402,0.0 
 01/01  07:00:00,11702900.092087472,11702900.092087472,0.0 
 01/01  08:00:00,11783392.19842098,11783392.198420978,0.0 
 01/01  09:00:00,8389204.262032677,8389204.262032677,0.0 
 01/01  10:00:00,7940014.999246269,7940014.999246268,0.0 
 01/01  11:00:00,7136811.436265161,7136811.43626516,0.0 
 01/01  12:00:00,6953769.23890112,6953769.23890112,0.0 
 01/01  13:00:00,7272495.368297309,7272495.368297309,0.0 
 01/01  14:00:00,7615565.435964592,7615565.435964591,0.0 
 01/01  15:00:00,7598708.65389004,7598708.653890039,0.0 
 01/01  16:00:00,7806825.3557653049,7806825.355765304,0.0 
 01/01  17:00:00,10238226.682678739,10238226.682678739,0.0 
 01/01  18:00:00,11793844.66421623,11793844.66421623,0.0 
 01/01  19:00:00,11517712.498029519,11517712.498029519,0.0 
 01/01  20:00:00,11723401.346456552,11723401.34645655,0.0 
 01/01  21:00:00,11976119.78758381,11976119.78758381,0.0 
 01/01  22:00:00,11939400.72294881,11939400.72294881,0.0 
 01/01  23:00:00,12168671.674519659,12168671.674519659,0.0 
 01/01  24:00:00,12084082.495104062,12084082.495104062,0.0 
 01/02  01:00:00,13244379.754411338,13244379.754411338,0.0 
 01/02  02:00:00,13247765.630667838,13247765.630667838,0.0 
 01/02  03:00:00,13165201.390597323,13165201.390597323,0.0 
 01/02  04:00:00,13121073.958972864,13121073.958972864,0.0 
 01/02  05:00:00,12948520.377437104,12948520.377437104,0.0 
 01/02  06:00:00,13722087.544939904,13722087.544939898,0.0 
 01/02  07:00:00,43134244.79535368,43134244.79535368,0.0 
 01/02  08:00:00,44360398.168763238,44360398.168763238,0.0 
 01/02  09:00:00,47544323.0670602,47544323.06706021,0.0 
 01/02  10:00:00,44799637.557614069,44799637.557614069,0.0 
 01/02  11:00:00,42208790.78603401,42208790.78603401,0.0 
 01/02  12:00:00,39694029.443926509,39694029.4439265,0.0 
 01/02  13:00:00,40017012.396030988,40017012.396030988,0.0 
 01/02  14:00:00,38935660.06330005,38935660.06330005,0.0 
 01/02  15:00:00,38510152.84107625,38510152.84107625,0.0 
 01/02  16:00:00,38094540.82390774,38094540.82390774,0.0 
 01/02  17:00:00,39708745.56815148,39708745.56815149,0.0 
 01/02  18:00:00,35133850.05690698,35133850.05690698,0.0 
 01/02  19:00:00,29685243.53601516,29685243.536015158,0.0 
 01/02  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/02  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/02  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/02  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/02  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/03  01:00:00,12258423.644994013,12258423.644994013,0.0 
 01/03  02:00:00,12258423.644994013,12258423.644994013,0.0 
 01/03  03:00:00,12258423.644994013,12258423.644994013,0.0 
 01/03  04:00:00,12258423.644994013,12258423.644994013,0.0 
 01/03  05:00:00,12258423.644994013,12258423.644994013,0.0 
 01/03  06:00:00,13070526.588477327,13070526.588477323,0.0 
 01/03  07:00:00,33416493.486710408,33416493.486710408,0.0 
 01/03  08:00:00,36224380.56469027,36224380.56469027,0.0 
 01/03  09:00:00,38294302.376505959,38294302.376505959,0.0 
 01/03  10:00:00,35996223.950001377,35996223.95000137,0.0 
 01/03  11:00:00,33912731.677417,33912731.677417,0.0 
 01/03  12:00:00,33596714.965481508,33596714.965481508,0.0 
 01/03  13:00:00,33085056.081607924,33085056.081607924,0.0 
 01/03  14:00:00,32207715.52674664,32207715.526746639,0.0 
 01/03  15:00:00,33330881.515060918,33330881.51506092,0.0 
 01/03  16:00:00,33275466.08145893,33275466.081458935,0.0 
 01/03  17:00:00,35640141.829953189,35640141.82995319,0.0 
 01/03  18:00:00,31859630.481334397,31859630.481334393,0.0 
 01/03  19:00:00,26819652.734602177,26819652.73460217,0.0 
 01/03  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/03  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/03  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/03  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/03  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/04  01:00:00,12258423.644994013,12258423.644994013,0.0 
 01/04  02:00:00,12258423.644994013,12258423.644994013,0.0 
 01/04  03:00:00,12258423.644994013,12258423.644994013,0.0 
 01/04  04:00:00,12258423.644994013,12258423.644994013,0.0 
 01/04  05:00:00,12258423.644994013,12258423.644994013,0.0 
 01/04  06:00:00,13070526.588477327,13070526.588477323,0.0 
 01/04  07:00:00,29241400.007434183,29241400.007434176,0.0 
 01/04  08:00:00,34018526.34333839,34018526.34333839,0.0 
 01/04  09:00:00,36324329.204849269,36324329.20484927,0.0 
 01/04  10:00:00,35279792.1630677,35279792.163067709,0.0 
 01/04  11:00:00,33956690.72805909,33956690.72805909,0.0 
 01/04  12:00:00,32643804.581456216,32643804.581456216,0.0 
 01/04  13:00:00,32559685.194319555,32559685.19431955,0.0 
 01/04  14:00:00,31517819.9443341,31517819.9443341,0.0 
 01/04  15:00:00,31518602.40211298,31518602.40211298,0.0 
 01/04  16:00:00,31839741.51516633,31839741.51516633,0.0 
 01/04  17:00:00,34313996.70331203,34313996.70331205,0.0 
 01/04  18:00:00,30274356.379323085,30274356.379323085,0.0 
 01/04  19:00:00,25774310.34070229,25774310.340702289,0.0 
 01/04  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/04  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/04  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/04  23:00:00,11084524.076916654,11084524.076916654,0.0 
 01/04  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/05  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/05  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/05  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/05  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/05  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/05  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/05  07:00:00,35601670.07198881,35601670.0719888,6269062.046981119 
 01/05  08:00:00,43278038.42417927,43278038.42417927,6111313.867176573 
 01/05  09:00:00,41640020.720334228,41640020.720334228,0.0 
 01/05  10:00:00,36523413.04020166,36523413.040201667,0.0 
 01/05  11:00:00,34462784.2197325,34462784.2197325,0.0 
 01/05  12:00:00,34027514.45046485,34027514.45046485,0.0 
 01/05  13:00:00,34574234.95058419,34574234.95058418,0.0 
 01/05  14:00:00,31875891.759375968,31875891.759375968,0.0 
 01/05  15:00:00,31093752.463333697,31093752.463333697,0.0 
 01/05  16:00:00,30523929.39580913,30523929.395809134,0.0 
 01/05  17:00:00,33822949.85846933,33822949.85846934,0.0 
 01/05  18:00:00,31111801.725314287,31111801.725314283,0.0 
 01/05  19:00:00,26677373.436158066,26677373.43615806,0.0 
 01/05  20:00:00,13931418.059538959,13931418.059538955,0.0 
 01/05  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/05  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/05  23:00:00,11534524.076916658,11534524.076916658,0.0 
 01/05  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/06  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/06  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/06  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/06  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/06  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/06  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/06  07:00:00,34810469.16307397,34810469.163073968,6397994.770283537 
 01/06  08:00:00,42786538.24998341,42786538.24998341,10703332.930146143 
 01/06  09:00:00,43358011.32760435,43358011.32760435,0.0 
 01/06  10:00:00,39356353.59848265,39356353.59848265,0.0 
 01/06  11:00:00,37719309.61300652,37719309.61300652,0.0 
 01/06  12:00:00,35518766.774592008,35518766.774592008,0.0 
 01/06  13:00:00,37394612.98606415,37394612.98606414,0.0 
 01/06  14:00:00,32821805.800518209,32821805.800518209,0.0 
 01/06  15:00:00,32347723.744611276,32347723.74461127,0.0 
 01/06  16:00:00,32124159.503925776,32124159.503925776,0.0 
 01/06  17:00:00,35263452.23927412,35263452.23927412,0.0 
 01/06  18:00:00,37100966.31781357,37100966.317813578,0.0 
 01/06  19:00:00,32596185.733689544,32596185.73368954,0.0 
 01/06  20:00:00,13931418.059538959,13931418.059538955,0.0 
 01/06  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/06  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/06  23:00:00,11534524.076916658,11534524.076916658,0.0 
 01/06  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  01:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  02:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  03:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  04:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  05:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  06:00:00,10093157.415921547,10093157.415921547,0.0 
 01/07  07:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  08:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  09:00:00,7825114.441311181,7825114.441311181,0.0 
 01/07  10:00:00,7606440.795774006,7606440.795774006,0.0 
 01/07  11:00:00,7557737.310532268,7557737.310532267,0.0 
 01/07  12:00:00,7524114.655724569,7524114.655724569,0.0 
 01/07  13:00:00,7563254.921628924,7563254.921628923,0.0 
 01/07  14:00:00,7574356.930239567,7574356.930239567,0.0 
 01/07  15:00:00,7625818.89215773,7625818.89215773,0.0 
 01/07  16:00:00,7645628.926839717,7645628.926839717,0.0 
 01/07  17:00:00,9794710.61030598,9794710.61030598,0.0 
 01/07  18:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  19:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  20:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  21:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  22:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  23:00:00,11205881.415921547,11205881.415921547,0.0 
 01/07  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  01:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  02:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  03:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  04:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  05:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  06:00:00,10093157.415921547,10093157.415921547,0.0 
 01/08  07:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  08:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  09:00:00,7879187.702577653,7879187.702577653,0.0 
 01/08  10:00:00,7641910.338814916,7641910.338814916,0.0 
 01/08  11:00:00,7579369.753144132,7579369.753144132,0.0 
 01/08  12:00:00,7588693.106498653,7588693.106498651,0.0 
 01/08  13:00:00,7533263.239450828,7533263.239450828,0.0 
 01/08  14:00:00,6671060.419916435,6671060.419916435,0.0 
 01/08  15:00:00,6722930.899527896,6722930.899527895,0.0 
 01/08  16:00:00,6745084.589814775,6745084.589814775,0.0 
 01/08  17:00:00,9793520.457824385,9793520.457824385,0.0 
 01/08  18:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  19:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  20:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  21:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  22:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  23:00:00,11205881.415921547,11205881.415921547,0.0 
 01/08  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/09  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/09  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/09  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/09  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/09  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/09  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/09  07:00:00,36506472.61624379,36506472.61624379,18297767.567626697 
 01/09  08:00:00,43864540.510826338,43864540.51082634,17123389.672445496 
 01/09  09:00:00,46005233.8846751,46005233.88467511,3540178.523045188 
 01/09  10:00:00,41235355.94159228,41235355.94159228,829823.5519184541 
 01/09  11:00:00,36643703.08367064,36643703.08367064,0.0 
 01/09  12:00:00,33974560.482555549,33974560.48255555,0.0 
 01/09  13:00:00,32517919.82012848,32517919.82012848,0.0 
 01/09  14:00:00,32506611.05178805,32506611.05178805,0.0 
 01/09  15:00:00,32692754.127545567,32692754.12754557,0.0 
 01/09  16:00:00,33093861.511648045,33093861.511648045,0.0 
 01/09  17:00:00,35588704.30118614,35588704.301186148,0.0 
 01/09  18:00:00,32216937.074427144,32216937.074427148,0.0 
 01/09  19:00:00,26850042.575433975,26850042.575433975,0.0 
 01/09  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/09  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/09  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/09  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/09  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/10  01:00:00,12258423.644994013,12258423.644994013,0.0 
 01/10  02:00:00,12258423.644994013,12258423.644994013,0.0 
 01/10  03:00:00,12258423.644994013,12258423.644994013,0.0 
 01/10  04:00:00,12258423.644994013,12258423.644994013,0.0 
 01/10  05:00:00,12258423.644994013,12258423.644994013,0.0 
 01/10  06:00:00,13070526.588477327,13070526.588477323,0.0 
 01/10  07:00:00,29002845.692199876,29002845.692199876,0.0 
 01/10  08:00:00,34094922.3284618,34094922.3284618,0.0 
 01/10  09:00:00,34850143.22248013,34850143.22248013,0.0 
 01/10  10:00:00,32425934.75853127,32425934.75853127,0.0 
 01/10  11:00:00,31957064.624190108,31957064.624190116,0.0 
 01/10  12:00:00,31453437.55732232,31453437.55732232,0.0 
 01/10  13:00:00,30897838.10592591,30897838.10592591,0.0 
 01/10  14:00:00,31207061.900968039,31207061.900968039,0.0 
 01/10  15:00:00,30913436.777841715,30913436.777841715,0.0 
 01/10  16:00:00,31120721.936853883,31120721.936853883,0.0 
 01/10  17:00:00,32921146.28471594,32921146.28471594,0.0 
 01/10  18:00:00,27976470.658634277,27976470.658634277,0.0 
 01/10  19:00:00,22690960.07871716,22690960.07871716,0.0 
 01/10  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/10  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/10  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/10  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/10  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/11  01:00:00,12258423.644994013,12258423.644994013,0.0 
 01/11  02:00:00,12258423.644994013,12258423.644994013,0.0 
 01/11  03:00:00,12258423.644994013,12258423.644994013,0.0 
 01/11  04:00:00,12258423.644994013,12258423.644994013,0.0 
 01/11  05:00:00,12258423.644994013,12258423.644994013,0.0 
 01/11  06:00:00,13070526.588477327,13070526.588477323,0.0 
 01/11  07:00:00,24340100.89296789,24340100.892967885,0.0 
 01/11  08:00:00,28205857.794372798,28205857.794372795,0.0 
 01/11  09:00:00,31908699.105658514,31908699.10565852,0.0 
 01/11  10:00:00,30203173.87982648,30203173.879826469,0.0 
 01/11  11:00:00,30228925.513291524,30228925.513291528,0.0 
 01/11  12:00:00,29706965.938735963,29706965.938735963,0.0 
 01/11  13:00:00,27894557.25630326,27894557.25630326,0.0 
 01/11  14:00:00,29542247.90910821,29542247.909108219,0.0 
 01/11  15:00:00,29858121.760463217,29858121.760463217,0.0 
 01/11  16:00:00,30927707.551642024,30927707.55164202,0.0 
 01/11  17:00:00,32708464.497398925,32708464.497398925,0.0 
 01/11  18:00:00,24937050.958620624,24937050.958620624,0.0 
 01/11  19:00:00,19614991.388621466,19614991.388621458,0.0 
 01/11  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/11  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/11  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/11  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/11  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/12  01:00:00,12258423.644994013,12258423.644994013,0.0 
 01/12  02:00:00,12258423.644994013,12258423.644994013,0.0 
 01/12  03:00:00,12258423.644994013,12258423.644994013,0.0 
 01/12  04:00:00,12258423.644994013,12258423.644994013,0.0 
 01/12  05:00:00,12258423.644994013,12258423.644994013,0.0 
 01/12  06:00:00,13070526.588477327,13070526.588477323,0.0 
 01/12  07:00:00,23664447.938256969,23664447.938256965,0.0 
 01/12  08:00:00,28392858.193831866,28392858.193831859,0.0 
 01/12  09:00:00,32201735.28057423,32201735.28057424,0.0 
 01/12  10:00:00,31517045.552709089,31517045.552709089,0.0 
 01/12  11:00:00,30866417.562100665,30866417.562100665,0.0 
 01/12  12:00:00,30522996.354717785,30522996.354717789,0.0 
 01/12  13:00:00,29543700.44390771,29543700.44390771,0.0 
 01/12  14:00:00,29690696.045658165,29690696.045658169,0.0 
 01/12  15:00:00,30706886.245889568,30706886.245889576,0.0 
 01/12  16:00:00,30295919.855414105,30295919.855414105,0.0 
 01/12  17:00:00,32681710.47204373,32681710.47204373,0.0 
 01/12  18:00:00,27977059.232051344,27977059.232051344,0.0 
 01/12  19:00:00,22938230.620036317,22938230.62003631,0.0 
 01/12  20:00:00,13031418.059538959,13031418.059538955,0.0 
 01/12  21:00:00,11769894.910823154,11769894.910823152,0.0 
 01/12  22:00:00,11769894.910823154,11769894.910823152,0.0 
 01/12  23:00:00,10634524.076916654,10634524.076916654,0.0 
 01/12  24:00:00,10305881.415921547,10305881.415921547,0.0 
 01/13  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/13  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/13  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/13  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/13  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/13  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/13  07:00:00,27347906.88348655,27347906.88348655,2461770.034292211 
 01/13  08:00:00,32733856.252032047,32733856.252032039,0.0 
 01/13  09:00:00,35533487.38349719,35533487.38349719,0.0 
 01/13  10:00:00,33660364.01356149,33660364.01356149,0.0 
 01/13  11:00:00,33390457.99961899,33390457.99961899,0.0 
 01/13  12:00:00,32395079.369396345,32395079.369396349,0.0 
 01/13  13:00:00,32392923.156522488,32392923.15652249,0.0 
 01/13  14:00:00,30966278.11008778,30966278.110087776,0.0 
 01/13  15:00:00,31859259.65514866,31859259.655148657,0.0 
 01/13  16:00:00,32894605.397073337,32894605.397073345,0.0 
 01/13  17:00:00,35131430.44396154,35131430.443961549,0.0 
 01/13  18:00:00,35223568.98116545,35223568.981165457,0.0 
 01/13  19:00:00,31503314.07618422,31503314.07618422,0.0 
 01/13  20:00:00,13931418.059538959,13931418.059538955,0.0 
 01/13  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/13  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/13  23:00:00,11534524.076916658,11534524.076916658,0.0 
 01/13  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  01:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  02:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  03:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  04:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  05:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  06:00:00,10093157.415921547,10093157.415921547,0.0 
 01/14  07:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  08:00:00,10932281.415921547,10932281.415921547,0.0 
 01/14  09:00:00,7871754.225939823,7871754.225939823,0.0 
 01/14  10:00:00,7583118.982657093,7583118.982657092,0.0 
 01/14  11:00:00,7555495.133359088,7555495.133359087,0.0 
 01/14  12:00:00,7523791.747996243,7523791.747996243,0.0 
 01/14  13:00:00,7017088.42696022,7017088.42696022,0.0 
 01/14  14:00:00,6639486.988208505,6639486.988208505,0.0 
 01/14  15:00:00,6656344.20118725,6656344.20118725,0.0 
 01/14  16:00:00,7192519.504913269,7192519.504913269,0.0 
 01/14  17:00:00,9246320.457824385,9246320.457824385,0.0 
 01/14  18:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  19:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  20:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  21:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  22:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  23:00:00,11205881.415921547,11205881.415921547,0.0 
 01/14  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  01:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  02:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  03:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  04:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  05:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  06:00:00,10093157.415921547,10093157.415921547,0.0 
 01/15  07:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  08:00:00,10932281.415921547,10932281.415921547,0.0 
 01/15  09:00:00,7796367.730378038,7796367.730378035,0.0 
 01/15  10:00:00,7586096.284663672,7586096.284663672,0.0 
 01/15  11:00:00,7561427.718841957,7561427.718841957,0.0 
 01/15  12:00:00,7525203.329774454,7525203.329774454,0.0 
 01/15  13:00:00,7533101.541342394,7533101.541342394,0.0 
 01/15  14:00:00,7539560.286925104,7539560.2869251039,0.0 
 01/15  15:00:00,7635794.986344004,7635794.986344002,0.0 
 01/15  16:00:00,7859442.496969076,7859442.496969076,0.0 
 01/15  17:00:00,9290681.415921549,9290681.415921549,0.0 
 01/15  18:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  19:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  20:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  21:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  22:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  23:00:00,11205881.415921547,11205881.415921547,0.0 
 01/15  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  01:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  02:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  03:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  04:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  05:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  06:00:00,10093157.415921547,10093157.415921547,0.0 
 01/16  07:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  08:00:00,10932281.415921547,10932281.415921547,0.0 
 01/16  09:00:00,7887266.9946721349,7887266.9946721349,0.0 
 01/16  10:00:00,7831985.108490873,7831985.108490872,0.0 
 01/16  11:00:00,7736302.766917335,7736302.766917333,0.0 
 01/16  12:00:00,7533765.829232242,7533765.829232242,0.0 
 01/16  13:00:00,7563023.785050393,7563023.785050393,0.0 
 01/16  14:00:00,7635756.181842018,7635756.181842018,0.0 
 01/16  15:00:00,7701528.153254433,7701528.153254433,0.0 
 01/16  16:00:00,7859553.835997383,7859553.835997383,0.0 
 01/16  17:00:00,9290681.415921549,9290681.415921549,0.0 
 01/16  18:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  19:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  20:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  21:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  22:00:00,11205881.415921547,11205881.415921547,0.0 
 01/16  23:00:00,11312611.241104627,11312611.241104627,0.0 
 01/16  24:00:00,11497139.415659972,11497139.41565997,0.0 
 01/17  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/17  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/17  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/17  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/17  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/17  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/17  07:00:00,41570494.381083797,41570494.381083797,28416215.074247216 
 01/17  08:00:00,42509022.729514818,42509022.729514818,15686188.944095606 
 01/17  09:00:00,46433961.40722208,46433961.407222088,1699576.6798841109 
 01/17  10:00:00,43814618.843145,43814618.84314498,26709.288777189955 
 01/17  11:00:00,41622536.72921847,41622536.72921846,0.0 
 01/17  12:00:00,39631873.996168259,39631873.99616826,0.0 
 01/17  13:00:00,38868934.42366679,38868934.42366679,0.0 
 01/17  14:00:00,35579023.11677834,35579023.11677834,0.0 
 01/17  15:00:00,35057062.85001606,35057062.85001606,0.0 
 01/17  16:00:00,36331307.69157011,36331307.69157011,0.0 
 01/17  17:00:00,38467963.72285036,38467963.72285036,0.0 
 01/17  18:00:00,36852384.87549162,36852384.87549162,0.0 
 01/17  19:00:00,31392099.889851899,31392099.889851896,0.0 
 01/17  20:00:00,13931418.059538959,13931418.059538955,0.0 
 01/17  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/17  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/17  23:00:00,11534524.076916658,11534524.076916658,0.0 
 01/17  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/18  01:00:00,13158423.644994015,13158423.644994013,0.0 
 01/18  02:00:00,13158423.644994015,13158423.644994013,0.0 
 01/18  03:00:00,13158423.644994015,13158423.644994013,0.0 
 01/18  04:00:00,13158423.644994015,13158423.644994013,0.0 
 01/18  05:00:00,13158423.644994015,13158423.644994013,0.0 
 01/18  06:00:00,13970526.588477327,13970526.588477327,0.0 
 01/18  07:00:00,33512127.82012242,33512127.820122415,4755142.059555822 
 01/18  08:00:00,38801416.07415084,38801416.07415084,196026.01125267769 
 01/18  09:00:00,40376752.75004251,40376752.75004252,0.0 
 01/18  10:00:00,38540604.27995834,38540604.27995833,0.0 
 01/18  11:00:00,37717219.85034303,37717219.85034303,0.0 
 01/18  12:00:00,35543912.590869259,35543912.590869259,0.0 
 01/18  13:00:00,35576292.356055308,35576292.3560553,0.0 
 01/18  14:00:00,34519481.98739803,34519481.98739803,0.0 
 01/18  15:00:00,34964782.53885262,34964782.53885262,0.0 
 01/18  16:00:00,35704852.13801694,35704852.13801695,0.0 
 01/18  17:00:00,37176871.20067441,37176871.20067441,0.0 
 01/18  18:00:00,35040310.24530418,35040310.24530418,0.0 
 01/18  19:00:00,29571358.32579651,29571358.32579651,0.0 
 01/18  20:00:00,13931418.059538959,13931418.059538955,0.0 
 01/18  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/18  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/18  23:00:00,11534524.076916658,11534524.076916658,0.0 
 01/18  24:00:00,11205881.415921547,11205881.415921547,0.0 
 01/19  01:00:00,13158423.644994015,13158423.644994013,0.0 
